This worksheet is to be completed in case the action is fully (tab 1a) or partly (tab 1b) cost-based ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
   3.1.3 WWF - rent of vehicles       ,"WWF Indonesia rents vehicles on a per-trip basis for landscape governance fieldwork, ILM forum facilitation, participatory land-use mapping (Act. 1.1.2) and stakeholder coordination missions across Lampung and Aceh. A per-trip rental model is used as WWF does not require dedicated vehicles throughout the year.","EUR 74/trip × 330 trips over 3 years = EUR 24,420. Approximately 110 trips per year covering field missions in Lampung and Aceh.",,,,,,
3.2. Rent software,,,,,,,,
   3.2.1 Other - digital tools licenses - Digitial farmers platform & M&E system licenses,"Annual software licence fees for the digital farmer platform and M&E system used across the consortium to collect, manage and analyse farmer data, training records, adoption monitoring and MRV indicators. These licences underpin Output 4.1 (Digital MRV system) and are required throughout the 36-month implementation period.","EUR 1,667/year × 3 years = EUR 5,001.",,,,,,
   3.2.2 Digital traceability system in the supply chain for coffee transcation,"Annual licence for the digital traceability system used by Sucafina Indonesia to track coffee transactions from farm to exporter in Central Aceh. This system records farmer geolocation data, EUDR deforestation analysis outputs, chain-of-custody information and lot-level sustainability claims. It is a core enabler of Sucafina's EUDR compliance work and Output 3.2 (green sourcing models).","EUR 9,567/year × 3 years = EUR 28,701.",,,,,,
3.3. Purchases equipments and supplies ,,,,,,,,
   3.3.1 Fairfood - Purchase of farmer cards       ,"Physical farmer identification cards for the 3,000 farmers enrolled in the Fairfood-managed traceability system in Bangka/Belitung and Lampung. Cards enable linkage of individual farmers to their farm geolocation data, traceability records and MRV performance data, which is foundational for EUDR-compliant supply chain documentation.","EUR 0.50/card × 3,000 cards = EUR 1,500.",,,,,,
   3.3.2 WWF - Laptop,"Nine laptops for WWF Indonesia project staff (Project Leader, Technical Officers ×2, Stakeholder Engagement Officers ×2, PMEL Officer, Finance Specialist, Admin Officer, Communications Officer). Laptops are required for MRV data management, report writing, GIS analysis and remote participation in consortium meetings. Procured in Year 1.","EUR 1,550/unit × 9 units = EUR 13,950.",,,,,,
   3.3.3 Sucafina -  Farmers incentive package based on the adoption rate - Grass cutter tool,"Grass-cutter tools form part of the farmer incentive package distributed to 600 Aceh coffee farmers who adopt agroforestry and regenerative practices (Activity 2.1.3). The incentive package is structured as a results-based reward tied to verified practice adoption, providing both a practical tool for agroforestry maintenance and a financial incentive for adoption. Grass cutters are essential for under-canopy management in coffee agroforestry systems.","EUR 77/unit × 600 units = EUR 46,200.",,,,,,
   3.3.4 Sucafina -  Farmers incentive package based on the adoption rate - Foliar sprayer tool,"Foliar sprayers enable farmers to apply organic foliar fertilisers and biopesticides, a core practice in the regenerative agriculture and climate-smart agriculture training programme (Activity 2.1.3). Distributed as part of the same results-based incentive package to 600 verified adopters in Aceh.","EUR 26/unit × 600 units = EUR 15,600.",,,,,,
   3.3.5 Sucafina - Farmers incentive package based on the adoption rate - Organic compost (30kg - bag),Organic compost bags support soil health improvement practices taught in the climate-smart agriculture and agroforestry training. Distributed as part of the results-based incentive package to verified adopters. Quantity (13.2 bags total) reflects the incentive pilot phase calculation based on adoption rate targets.,EUR 6/bag × 13.2 bags = EUR 79. This represents the average compost allocation per cohort based on adoption verification milestones.,,,,,,
   3.3.6 Sucafina -  Farmers incentive package based on the adoption rate - Prunning secateur tool,Pruning secateurs are essential tools for coffee tree maintenance and agroforestry canopy management. Distributed as part of the results-based farmer incentive package to 600 verified adopters in Aceh. Proper pruning is a critical skill taught in the training programme to improve coffee yield and tree health.,"EUR 6/unit × 600 units = EUR 3,600.",,,,,,
"   3.3.7 PTCAN - Computer equipment, furniture (desks, chairs, storage, printer, air conditioner, fan, CCTV)","Computer equipment (laptops, printers) and office furniture (desks, chairs, filing storage, air conditioning, fans, CCTV) are required to operationalise PT CAN's five Spice Hubs. Spice Hubs serve as the operational and commercial centres for farmer training, input distribution, produce aggregation and traceability data management in Bangka/Belitung. Each hub requires basic ICT and working infrastructure.","EUR 3,500/hub × 5 hubs = EUR 17,500. Procured in Year 1 for initial setup.",,,,,,
"   3.3.8 PTCAN - Machines, tools ((pruning ladder, hand-chainsaw, grass-cutting machine, sickle, etc)","Agricultural tools (pruning ladders, hand-chainsaws, grass-cutting machines, sickles) required for PT CAN's regenerative pepper farming activities, agroforestry maintenance, demo plot management and nursery operations across 5 Spice Hub locations in Bangka/Belitung.","EUR 4,000/hub × 5 hubs = EUR 20,000.",,,,,,
"   3.3.9 PTCAN - Spare parts/equipment for machines, tools",Spare parts and maintenance components for PT CAN's agricultural machinery across 5 Spice Hubs over the 3-year programme. Regular maintenance prevents operational downtime that would disrupt training delivery and agroforestry activities in remote Bangka communities.,"EUR 2,000/hub × 5 hubs = EUR 10,000.",,,,,,
   3.3.10 PTCAN - Laboratory Equipments (soil and plant health lab),"Laboratory equipment to establish PT CAN's soil microbiology and plant health lab, including equipment for microbial analysis, bio-compost quality testing and soil health diagnostics. The lab underpins PT CAN's regenerative agriculture approach (Activity 2.1.3) by enabling evidence-based soil management recommendations for pepper farmers.","EUR 13,000 (lump sum procurement, Year 1). Based on quotations for laboratory equipment including microscopes, soil testing kits, pH meters, incubators and basic analytical tools.",,,,,,
"   3.3.11 PTCAN - Natural Input Materials (seedling, mother plant, bio-compost, compost tea, biological agents, etc)","Core biological inputs for PT CAN's regenerative spice farming system, including agroforestry seedlings, pepper mother plants, bio-compost, compost tea and biological control agents. These inputs are the foundation of the agroforestry transition model and are distributed to farmer groups through Spice Hubs. Directly supports Activities 2.1.2 (demo plots and nurseries) and 2.1.4 (landscape restoration).","EUR 6,000 (lump sum procurement, Year 1). Based on estimated input volumes for nursery establishment and initial distribution round.",,,,,,
"   3.3.12 PTCAN - Nursery Facility Support (materials, supply, etc)","Materials, supplies and infrastructure support for PT CAN's five community nurseries producing certified pepper seedlings and agroforestry planting material. Nurseries are central to the programme's input supply model and generate income that supports long-term Spice Hub sustainability.","EUR 5,000/nursery × 5 nurseries = EUR 25,000 over 3 years.",,,,,,
"   3.3.13 PTCAN - Demoplot Facility Support (materials, supply, etc)",Materials and infrastructure for PT CAN's two agroforestry demonstration plots in Bangka/Belitung (including the Kelekak model). Demo plots are the most effective mechanism for farmer behaviour change in risk-averse smallholder contexts. They also serve as training venues for Change Makers and farmer field days.,"EUR 5,000/plot × 2 plots = EUR 10,000.",,,,,,
"   3.3.14 PTCAN - Training Materials (banner, signage, flyer, office supplies, online course for ToT, catering etc","Production of training materials including banners, signage, flyers, office supplies, online course resources for ToT workshops and catering for training events. Required for each of three annual training delivery rounds.","EUR 2,700/round × 3 rounds = EUR 8,100.",,,,,,
"   3.3.15 PTCAN - Training Equipments (speakers, GPS, pH meter, Hygrograph, samples collecting tools, etc)","Training equipment supporting the technical dimensions of PT CAN's farmer training programme: speakers/PA systems, GPS devices for geolocation training, pH meters, hygrographs and soil/plant sample collection tools. Procured once in Year 1 for use across all training cycles.","EUR 3,000 (lump sum, Year 1).",,,,,,
   3.3.16 PTKGF - Monitoring equipment ,Basic monitoring devices for PT KGF's Change Makers and data management staff to support field data collection for the MRV system. Devices include soil moisture meters or similar compact field measurement tools.,EUR 32/unit × 10 units = EUR 320.,,,,,,
   3.3.17 PTKGF - Laptop,"Laptops for PT KGF's management and technical staff (Project Manager, Technical Manager, Digital Officers, Data Management Officers, Finance Manager, Change Maker Coordinator, Farm Officers). Required for digital data management, MRV system operation, RFID tracking, report writing and consortium coordination.","EUR 351/unit × 16 units = EUR 5,616.",,,,,,
   3.3.18 PTKGF - Mobile Phone,"Mobile phones for Change Makers and field facilitators to support digital data collection in the field, upload MRV data and maintain communication with the PT KGF coordination team. Essential for the Digital MRV system's field data collection layer.","EUR 252/unit × 10 units = EUR 2,520.",,,,,,
"   3.3.18 PTKGF -  Laboratory equipment (Moisture tester, Refractometer, Density meter, Weight scale,  Radioactive Detection Equipment etc.) ","Quality control laboratory equipment for PT KGF's post-harvest quality management, including moisture testers, refractometers, density meters, weight scales and radioactive detection equipment (as required for pepper quality standards). These enable PT KGF to maintain and certify the quality of pepper and cocoa products sourced from its farmer network, supporting the green value chain model.","EUR 9,151 (lump sum procurement, Year 1).",,,,,,
   3.3.19 PT KGF - Seedlings for nursery (50.000 different types of seedlings),"50,000 diverse agroforestry and crop seedlings for PT KGF's nursery network in Lampung, covering pepper, cocoa, coffee and shade/timber species suitable for agroforestry systems. Nursery production is a core output (Activity 2.1.2) enabling distribution of quality planting material to 1,500+ farmers in Lampung. Seedling diversity is key to building resilient agroforestry systems as specified in the Climate Risk Assessment outputs.","EUR 0.42/seedling × 50,000 seedlings = EUR 21,000.",,,,,,
"   3.3.20 PT KGF - compost faclity inputs (molassess, sacks, manue, husk, bags etc)","Raw materials and consumables for PT KGF's certified composting facility, which produces organic compost distributed to farmers as an input for soil health improvement (Activity 2.1.5). The composting enterprise is a key micro-enterprise model in PT KGF's post-harvest and enterprise support programme, generating both improved soil inputs and supplementary income for farmer groups.","EUR 5,802 (lump sum procurement, Year 1 and ongoing).",,,,,,
   3.3.21 PT KGF - Seedling Numbering & Tracking_RFID Purchase and Installation,"RFID tags and installation for PT KGF's seedling numbering and tracking system, enabling digital traceability of planting materials from nursery to individual farm plots. This system directly supports Output 4.1 by creating a verifiable chain-of-custody for seedlings, confirming agroforestry adoption at farm level and providing evidence for results-based payments under Pillar C.","EUR 0.24/tag × 50,000 tags = EUR 12,000.",,,,,,
"   3.3.22 PTKGF - Demoplot Facility Support (materials, supply, etc)","Materials and inputs for PT KGF's agroforestry demonstration plots across Lampung (including the LKC Demo Farm ex-mine land rehabilitation site and additional plots). Demo plots provide practical learning environments for farmers and Change Makers, showcase agroforestry outcomes for sceptical landowners, and support biodiversity corridor development. Costs are allocated per plot-year across 3 years.","EUR 2,000/plot-year × 6 plot-years (2 plots × 3 years) = EUR 12,000.",,,,,,
Subtotal Equipment and supplies,,,,,,,,
4. Project office,,,,,,,,
"4.1. WWF - Vehicle Gas, Insurance, Maintenance, Tax & Admin Registration","Operating costs for WWF Indonesia's project vehicle used to support landscape governance fieldwork, ILM forum facilitation, mapping missions and government coordination across Lampung and Aceh. These are apportioned project office costs linked to WWF's field coordination base.",EUR 26/month × 36 months = EUR 936.,,,,,,
4.2 WWF - Office Rent,"Rental of WWF Indonesia's field coordination office space used to support aGROWforests+ project management, document storage, partner meetings and staff workspace in the target regions.","EUR 57/month × 36 months = EUR 2,052.",,,,,,
4.3 WWF - Consumables - office supplies,"Office stationery, printing, filing materials and general supplies for WWF Indonesia's project office required for day-to-day administration, reporting documentation and meeting management.","EUR 30/month × 36 months = EUR 1,080.",,,,,,
"4.4 WWF - Other services (tel/fax, electricity/heating, maintenance)","Internet connectivity, telephone costs and electricity for WWF Indonesia's project office. Reliable broadband internet is critical for MRV data uploads, virtual consortium meetings, donor reporting and digital platform access. Telephone costs cover local and inter-provincial calls for stakeholder coordination.","EUR 929/month × 36 months = EUR 33,444. Includes high-speed internet (~EUR 600/month), telephone (~EUR 200/month) and electricity/utilities (~EUR 129/month).",,,,,,
4.5. Village Hub rent,,,,,,,,
   4.5.1 PTKGF - Village hub rent_Tekad,"Annual rental of the Tekad village hub, one of four community-level operational bases for PT KGF's farmer training, input distribution and monitoring activities in Lampung. Village hubs are the primary interface between PT KGF's programme and farming communities.","EUR 1,207/year × 1 year = EUR 1,207. Rate based on local community space rental in Lampung.",,,,,,
   4.5.2 PTKGF - Village hub rent_Ngarip,"Annual rental of the Ngarip village hub. As for Tekad, provides a local base for farmer training, Change Maker coordination and input distribution in a second target community.","EUR 1,207/year × 1 year = EUR 1,207.",,,,,,
   4.5.3 PTKGF -  Village hub rent_Sima Galih,"Annual rental of the Sima Galih village hub, covering a third target community in Lampung with a distinct pepper farming landscape.","EUR 1,207/year × 1 year = EUR 1,207.",,,,,,
   4.5.4 PTKGF - Village hub rent_Harapan Jaya,"Annual rental of the Harapan Jaya village hub, the fourth community-level base in Lampung. Together the four village hubs ensure PT KGF maintains a continuous local presence across all four target communities in the province, enabling effective farmer support and monitoring.","EUR 1,207/year × 1 year = EUR 1,207.",,,,,,
4.6 PTKGF - Consumables - office supplies,"Office consumables (stationery, printing, filing) for PT KGF's field coordination function, supporting administrative tasks, financial record-keeping and reporting.","EUR 200/month × 12 months (Year 1) = EUR 2,400.",,,,,,
Subtotal Project office,,,,,,,,
"5. Other costs, services",,,,,,,,
5.1 Fairfood - External expert_Country program manager ,"An in-country external expert contracted by Fairfood International to manage day-to-day programme operations in Indonesia — partner coordination, field oversight, government liaison, progress reporting and logistics management. This role is essential because Fairfood's core programme staff are based in the Netherlands; a dedicated in-country manager ensures operational continuity and effective field presence. Post is contracted externally to maintain flexibility appropriate to a 36-month programme.","EUR 3,200/month × 18 months = EUR 57,600. Rate reflects senior programme management for an experienced Indonesian development professional. Additional note: The expert will be external the first 18 months of the project. The last 18 months the expert will be hired as staff member.",,,,,,
5.2 Fairfood - External expert_Design of program materials ,"External design consultancy commissioned in Year 1 to develop the full suite of EU-visibility compliant programme materials: visual identity, farmer guide templates, training materials layout, publication templates and digital communication assets. A single design contract ensures visual consistency across all consortium partners' materials over 3 years.","EUR 20,000 (single contract, Year 1).",,,,,,
5.3 Fairfood - External expert_MRV platform design and development ,"Specialist IT development contract to design and build the consortium's Digital MRV platform (Pillar D / Output 4.1), integrating farm geolocation data, agroforestry adoption monitoring, traceability system feeds and impact indicator dashboards. The platform must be interoperable with existing partner tools (Sucafina's traceability system, PT KGF's RFID system, Fairfood's farmer traceability platform) and capable of operating in low-connectivity environments. This is a core deliverable of the programme.","EUR 80,000 (single contract, Year 1). Reflects standard cost for a custom agricultural MRV platform integrating multiple data streams and designed for low-bandwidth use in Indonesia.",,,,,,
5.4 Fairfood - External expert_Project video ,"Production of a professional documentary video showcasing the aGROWforests+ programme, its farmer impact stories, agroforestry landscapes and green value chain results. Used for EU visibility, consumer engagement (supporting SWITCH-Asia Specific Objective 3), SWITCH-Asia dissemination and Verstegen's consumer transparency communications. Produced in two phases: a midterm field shoot (Year 2) and final edit with impact data (Year 3).","EUR 20,000 (single contract, split across Year 1 and Year 3).",,,,,,
5.5.Fairfood - External expert_Baseline and endline enumerator hire (Bangka and Lampung) ,"External enumerator services contracted to conduct systematic baseline surveys and endline assessments with farmers in Bangka/Belitung and Lampung. Rigorous baseline and endline data are required to measure income change, agroforestry adoption rates, biodiversity indicators and traceability compliance against project targets. Four separate contracts cover baseline (Year 1, 2 regions) and endline (Year 3, 2 regions) survey rounds.","EUR 15,000/contract × 4 contracts = EUR 60,000.",,,,,,
5.6 Fairfood - External expert (blended) finance machanism design ,"Specialist consultancy to design the Landscape Finance Approach (LFA) mechanism, including the results-based finance instrument, investor documentation aligned with TNFD and SBTN frameworks, DFI engagement strategy, and voluntary carbon/biodiversity credit integration roadmap. This is a core innovation of aGROWforests+ (Pillar C / Output 3.1) and requires specialised expertise in blended finance and sustainable landscape investment.","EUR 15,000 (single contract, Year 1). Reflects specialist blended finance consultancy rates.",,,,,,
5.7 Fairfood - External expert_ Traceability software ,"Software development contract to build or adapt the Fairfood traceability platform for the aGROWforests+ programme, enabling farm-to-fork tracking for pepper (Bangka/Belitung, Lampung) and integration with Verstegen's blockchain transparency system. Directly supports EUDR-compliant supply chain documentation and Output 3.2 (green sourcing models).","EUR 35,000 (single contract, Year 1).",,,,,,
5.8 Meeting room rent for program meetings ,"Rental of meeting facilities for eight consortium-wide programme meetings over 3 years (approximately 2–3 per year), covering annual planning sessions, mid-year review meetings, financial review meetings and consortium governance meetings. Neutral meeting spaces are used to ensure all partner organisations can participate on equal terms.","EUR 1,500/meeting × 8 meetings = EUR 12,000.",,,,,,
5.9 Catering for program meetings ,"Catering costs for the eight consortium programme meetings, covering refreshments and meals for multi-partner meetings of 10–20 participants lasting a full day.","EUR 300/meeting × 8 meetings = EUR 2,400.",,,,,,
5.10 Learning event venue and catering ,"Two annual programme learning events bringing together all consortium partners, key government stakeholders, SWITCH-Asia programme peers and private sector actors for knowledge sharing, programme showcasing and regional learning exchange. Events are required under the programme's learning and visibility plan.","EUR 6,000/event × 2 events = EUR 12,000. Covers venue rental, AV equipment, catering, and event logistics.",,,,,,
5.11 Interpreters for event ,"Professional interpreters for the two annual learning events to facilitate cross-language communication between English-speaking lead applicant/EU partner representatives and Indonesian-speaking government, farmer and civil society participants. Essential for inclusive, accessible events.","EUR 1,000/event × 2 events = EUR 2,000.",,,,,,
5.12 Printing and materials for event ,"Event-specific printed materials (programmes, presentations, handouts, name badges, banners) for the two annual learning events, complying with EU visibility requirements.","EUR 1,000/event × 2 events = EUR 2,000.",,,,,,
5.13.0 - 5.13.5 Expenditure verification/Audit (for all 6 partners),"Mandatory annual expenditure verification by a licensed independent auditor, covering all six consortium partners. Required under the EC SWITCH-Asia grant agreement for each reporting period. The audit produces expenditure verification reports per partner and a consolidated programme audit report submitted to the European Commission. Engagement of a certified international-standard audit firm is required given the multi-country, multi-partner structure.","EUR 11,667/audit × 3 annual audit cycles = EUR 34,998. EUR 70,000 reflects combined audit cost for six partners per year, including Indonesian partners (Kantor Akuntan Publik) and Netherlands-based partners.",,,,,,
5.14 Publications,"Production and dissemination of programme knowledge products including field guides, agroforestry practice manuals, policy briefs on landscape governance, impact reports for EC and SWITCH-Asia, and knowledge exchange materials for regional audiences. Publications support the programme's visibility obligations, contribute to SWITCH-Asia's programme-level knowledge agenda and enable scale-up of the model.","EUR 600/package × 21 packages over 3 years = EUR 12,600. Approximately 7 packages per year covering different output areas and audience segments.",,,,,,
"5.15 Studies, research","Research costs for smaller-scale studies and evidence-generation activities not covered by the baseline/endline contracts, such as market surveys, value chain analyses, policy review notes and spot assessments feeding into programme learning.",EUR 4.228/month × 24 months = EUR 101.47. Note: this line appears to represent a minor supplementary research allowance; primary research costs are covered under 5.5 (baseline/endline contracts) and 5.45–5.46 (PT KGF ILM/monitoring contracts).,,,,,,
5.16 Translation for publications and studies,"Professional translation services for programme publications, policy briefs, technical reports and knowledge products between English and Bahasa Indonesia. Required to ensure Indonesian government, farmer organisation and civil society audiences can access programme knowledge products.","EUR 25/page × 300 pages = EUR 7,500.",,,,,,
"5.17 Sucafina - Training farmers on regen ag, Agroforestry system & financial literacy","Direct training delivery costs for 2,000 Aceh coffee farmers covering climate-smart agriculture, agroforestry establishment, regenerative practices and financial literacy (Activity 2.1.3). Costs include training venue hire, materials, facilitator fees and community engagement during training sessions beyond the field facilitator salaries already budgeted under 1.1.14.","EUR 15/farmer × 2,000 farmers = EUR 30,000.",,,,,,
5.18 Sucafina - Baseline data collection (Aceh),"Systematic baseline farm assessment for all 2,000 Aceh coffee farmers enrolled in the programme, collecting geolocation data, EUDR deforestation risk analysis per plot, farm productivity benchmarks, income data and agroforestry status. This data is foundational for MRV (Output 4.1), EUDR compliance documentation, and the results-based payment design.","EUR 13/plot × 2,000 plots = EUR 26,000.",,,,,,
"5.19 Sucafina - Regen & Agroforestry Demo plots x 4, 1ha each","Establishment and maintenance of four 1-hectare regenerative and agroforestry demonstration plots in Central Aceh, managed by Sucafina in partnership with selected farmer groups. Demo plots demonstrate coffee agroforestry under real field conditions, serve as practical training venues for field facilitators and farmers, and provide physical evidence of the programme's agroforestry approach for government and investor stakeholders.","EUR 7.75/plot × 4 plots = EUR 31. Note: this line may represent a per-plot contribution cost (seedlings, inputs) above separate labour/venue costs covered elsewhere.",,,,,,
5.20 Sucafina - Coffee nursery - 6 nurseries ,"Establishment and operation of six coffee seedling nurseries in Central Aceh, producing quality Arabica coffee seedlings for distribution to enrolled farmers undertaking agroforestry conversion. Nurseries ensure a reliable supply of improved planting material, a critical bottleneck for agroforestry adoption identified in the context analysis.","EUR 4,417/nursery × 6 nurseries = EUR 26,502. Note: unit values in budget are expressed in thousands (EUR 4.417k).",,,,,,
5.21 Sucafina - Agroforestry seedlings nurseries 6 ,"Separate from the coffee nurseries, these six nurseries produce diverse agroforestry shade tree and timber species for intercropping with coffee. Agroforestry species diversity is key to building climate resilience, increasing carbon sequestration and qualifying for EUDR deforestation-free status.","EUR 4,167/nursery × 6 nurseries = EUR 25,002.",,,,,,
5.22 Sucafina - farm and soil assessments,Detailed farm and soil health assessments conducted by accredited soil laboratories to establish soil baseline data and monitor soil health improvements resulting from regenerative practices and agroforestry adoption. Soil data feeds into the MRV system and provides evidence for carbon sequestration claims relevant to the Landscape Finance Approach.,"EUR 430/sample × 10 samples = EUR 4,300.",,,,,,
5.23 PT CAN - Commnunity engagement and farmer training Venue Rent,"Rental of community halls, farmer meeting facilities or local training centres for PT CAN's community engagement sessions and farmer training events in Bangka/Belitung. Required for 30 training events over 3 years (~10 per year) across multiple communities.","EUR 100/event × 30 events = EUR 3,000.",,,,,,
"5.24 PT CAN - Local language Translation, interpreters","Local language translation and interpretation for PT CAN's training materials, community by-law documentation and stakeholder engagement in Bangka/Belitung, where local dialects and Bahasa Bangka complement standard Bahasa Indonesia.","EUR 250/package × 6 packages = EUR 1,500.",,,,,,
5.25 PT CAN - Financial services (bank guarantee costs etc.),"Monthly banking fees for PT CAN's programme account, covering inter-bank transfer fees for staff payroll, supplier payments and financial transactions associated with Spice Hub operations.","EUR 50/month × 36 months = EUR 1,800.",,,,,,
5.26 PT CAN - Expert/consultant_Agroforestry Consultation,"Provides specialist guidance on agroforestry species selection, canopy management, polyculture design and system optimisation for Bangka pepper landscapes, supplementing the expertise of PT CAN's internal field team and informing training content development.","EUR 8,000 per contract (fixed-price contract). Rate reflects standard consultancy fees for specialist technical advisers in the Indonesian NGO/private sector context.",,,,,,
5.27 PT CAN - Expert/consultant_Media and Communication Consultation,"Develops PT CAN's programme communication strategy, produces visibility materials (videos, social media content, press releases) and manages stakeholder storytelling to support EU visibility requirements and consumer engagement.","EUR 8,000 per contract (fixed-price contract). Rate reflects standard consultancy fees for specialist technical advisers in the Indonesian NGO/private sector context.",,,,,,
5.28 PT CAN - Expert/consultant_Regenerative Community ,"Supports PT CAN in applying regenerative community development principles to its farmer engagement model, strengthening group cohesion, women's participation and cooperative governance within Spice Hub communities.","EUR 8,000 per contract (fixed-price contract). Rate reflects standard consultancy fees for specialist technical advisers in the Indonesian NGO/private sector context.",,,,,,
5.29 PT CAN - Expert/consultant_FSA Certification ,"Guides PT CAN and partner farmer groups through the process of achieving a recognised sustainability certification (Farmer Self-Assessment or equivalent), opening access to certified markets and supporting green value chain development.","EUR 8,000 per contract (fixed-price contract). Rate reflects standard consultancy fees for specialist technical advisers in the Indonesian NGO/private sector context.",,,,,,
5.30 PT CAN - Expert/consultant_Landscape Planning & Strategy ,"Develops an integrated spatial plan for PT CAN's target spice landscapes in Bangka/Belitung, informing community by-law development and alignment with ILM forum outputs.","EUR 8,000 per contract (fixed-price contract). Rate reflects standard consultancy fees for specialist technical advisers in the Indonesian NGO/private sector context.",,,,,,
5.31 PT CAN - Expert/consultant_Institutional Collaboration & Coordination ,"Supports PT CAN in formalising partnerships with government agencies (Ministry of Agriculture, KLHK), research institutions and private sector buyers, strengthening the institutional anchoring of the programme.","EUR 8,000 per contract (fixed-price contract). Rate reflects standard consultancy fees for specialist technical advisers in the Indonesian NGO/private sector context.",,,,,,
5.32 PT CAN - Expert/consultant_Landscape & Geospatial Analysis ,"Conducts drone surveys, satellite image analysis and GIS mapping to establish the spatial baseline, track vegetation cover change and produce georeferenced evidence of landscape restoration progress in Bangka/Belitung.","EUR 8,000 per contract (fixed-price contract). Rate reflects standard consultancy fees for specialist technical advisers in the Indonesian NGO/private sector context.",,,,,,
5.33 PT CAN - Expert/consultant_Business Development and Marketing Specialist,"Supports PT CAN's spice value chain development, including market linkage brokering, buyer negotiations, product positioning and development of a sustainable business model for Spice Hubs.","EUR 8,000 per contract (fixed-price contract). Rate reflects standard consultancy fees for specialist technical advisers in the Indonesian NGO/private sector context.",,,,,,
5.34 PT CAN - Spice Hub Managers,"Eight Spice Hub Managers (agripreneurs) contracted to manage PT CAN's eight Spice Hubs in Bangka/Belitung. Each hub manager oversees day-to-day hub operations including farmer input distribution, produce aggregation, traceability data recording, community coordination and financial management. Hub Managers are contracted rather than employed to enable agripreneur ownership models consistent with the programme's enterprise development objectives.","EUR 10,000/contract × 8 Spice Hub contracts = EUR 80,000.",,,,,,
5.35 PT CAN - Community Nursery Manager,"Contracted manager overseeing PT CAN's central community nursery: seedling production, mother plant maintenance, quality assurance and distribution logistics to farmer groups. Contracted role supports nursery commercial sustainability.","EUR 8,000 (single contract).",,,,,,
5.36 PT CAN - Post Harvest Facility Manager,"Contracted manager of PT CAN's post-harvest processing facility, ensuring quality standards in drying, sorting and packaging, maintaining equipment, and supervising seasonal processing labour. Directly links to Activity 2.1.5 (post-harvest and micro-enterprise support).","EUR 7,500 (single contract).",,,,,,
5.37 PT CAN - MUTN Manager,"The Market Unit for Trading Networks (MUTN) Manager coordinates PT CAN's network of Spice Hubs, expands market access for aggregated pepper produce, facilitates business entity formation for farmer groups, and strengthens farmers' collective negotiating capacity. This role operationalises the green value chain model at scale.","EUR 7,500 (single contract).",,,,,,
5.38 PT CAN - Experts/Speakers for training of trainers,"External technical experts and specialist speakers engaged for PT CAN's ToT workshops, providing advanced knowledge in agroforestry, soil microbiology, climate adaptation, post-harvest quality, financial literacy and market linkage. ToT workshops are critical to build the capacity of Change Makers, Spice Hub Managers and internal field staff as programme multipliers.","EUR 300/speaker session × 30 sessions over 3 years = EUR 9,000.",,,,,,
"5.39 PT CAN - Community-Stakeholder meeting (room rent, catering, etc)","Facilitated community-stakeholder meetings to support ILM forum engagement, community by-law development (Output 1.2) and programme governance consultation in Bangka/Belitung. Six meetings over 3 years cover key governance milestones.","EUR 250/meeting × 6 meetings = EUR 1,500.",,,,,,
"5.40 PT CAN - Seasonal labor (compost making, pruning, grassing, harvesting, etc)","Seasonal agricultural labourers hired for intensive activities at PT CAN's composting facility, agroforestry demo plots and nurseries: compost production, pruning, grass management, transplanting and harvesting. Seasonal labour supplements permanent staff during peak operational periods and provides local employment in Bangka farming communities.","EUR 50/assignment × 360 assignments over 3 years = EUR 18,000.",,,,,,
"5.41 PT KGF - Printing of materials (training materials, flyers, banner, certificates etc). ","Monthly printing of training materials (guides, handouts), flyers, banners, certification documents and programme information materials for PT KGF's farmer training, community events and Change Maker activities in Lampung. Regular printing is required throughout implementation.","EUR 130/month × 36 months = EUR 4,680.",,,,,,
5.42 PT KGF - Daily labor - 2 persons,"Two daily labourers hired for intensive agricultural work at PT KGF's LKC Demo Farm and nursery operations, including land preparation, planting, weeding, composting, irrigation and harvest activities. Daily labour supplements the permanent Farm Officers and Assistants during peak seasonal workloads.","EUR 10/day × 650 days over 3 years = EUR 6,500.",,,,,,
5.43 PT KGF - Rental of demofarm plot site,Annual rental of the demo farm plot site for PT KGF's agroforestry demonstration programme in Lampung. The demo farm (including the LKC Demo Farm for ex-mine land rehabilitation) requires a multi-year lease to enable multi-year agroforestry establishment and monitoring cycles meaningful to adopting farmers.,"EUR 5,025/unit × 3 years = EUR 15,075.",,,,,,
5.44 PT KGF - Rental of LKC Facility/Site,"Rental of the LKC (Lokasi Kelola Communal) Facility/Site in Lampung over 3 years, providing the operational base for PT KGF's agroforestry training, composting and nursery enterprise. The facility also serves as a demonstration site for ex-mine land rehabilitation, a replicable model for degraded land restoration in Bangka/Belitung and Lampung.","EUR 7,600/year × 3 years = EUR 22,800.",,,,,,
5.45 PT KGF - ILM data collection ,"Specialist contract for Integrated Landscape Management (ILM) data collection in Lampung, supporting WWF Indonesia's landscape analysis (Output 1.1) and community by-law development (Output 1.2). Includes participatory land-use mapping, tenure documentation, ecosystem service assessments and biodiversity inventory data collection from field surveys across PT KGF's operational communities.","EUR 30,000 (single contract).",,,,,,
